序号,招聘主题,雇主类型
472,中山大学微电子科学与技术学院2021年人才招聘公告,互联网科技企业
473,清华大学出版社有限公司,教育单位类
474,中山大学生物医学工程学院2021年诚聘英才,互联网科技企业
480,中国重型汽车集团有限公司,生活类企业
481,南开大学化学学院陈军院士团队招收博士后和研发工程师,互联网科技企业
482,上海司南卫星导航技术股份有限公司,互联网科技企业
483,医世界 渡未来——2022医渡科技校园招聘正式启动,医疗科技企业
484,中国科学院计算技术研究所2021年秋冬季博士人才视频双选会,互联网科技企业
486,铸魂育人 职等你来-2021常州大学诚邀海内外人才共谋发展,社会企业
487,溪牛投资管理（北京）有限公司,金融企业
488,北京市经济与社会发展研究所,研究机构
489,深圳市赛元微电子有限公司,互联网科技企业
491,嘉庚创新实验室2021年博士后招聘公告,互联网科技企业
492,来浙，必有我师-浙江师范大学2021年专任教师招聘公告,社会企业
493,最高待遇120万，有编制，福利好！湖北汽车工业学院2021年秋冬季博士人才视频双选会,互联网科技企业
494,珠海格力电器股份有限公司,工业科技企业
496,2022中公教育校园招聘-教招讲师,其他类型企业
497,河北农业大学2021年选聘博士公告,互联网科技企业
499,中国人民银行数字货币研究所,研究机构
500,2022天阳科技校园招聘 锐阳计划 招聘简章,互联网科技企业
501,浙江新课堂教育股份有限公司,其他类型企业
502,北京未磁科技有限公司,互联网科技企业
504,2022年度赴港攻读硕士,其他类型企业
505,必创科技2022秋季校园招聘,互联网科技企业
506,第一创业证券2022届校园招聘,金融企业
507,泰康保险集团股份有限公司,金融企业
508,IT 二线应用支持,金融企业
509,嘉兴学院2021年度人才引进招聘公告,互联网科技企业
510,姿美堂2022招聘简章,其他类型企业
511,香港科技大学22fall数据建模硕士学位项目线下招生宣讲会,人文知识企业
512,逐梦一流 看浙里-宁波大学2021-2022年度公开招聘人才公告,互联网科技企业
513,厦门工学院2021年教师招聘启事,互联网科技企业
517,台州学院高等研究院大数据智能医疗研究所2021-2022年招聘启事,互联网科技企业
520,广东机电职业技术学院、广东省博士工作站2021年博士研究生招聘公告,教育单位类
523,山东省科学院海洋仪器仪表研究所2021-2022年招聘,互联网科技企业
527,天津南大通用数据技术股份有限公司,互联网科技企业
528,清华大学出版社2022校园招聘,教育单位类
530,战略支援部队信息工程大学洛阳校区2022年文职人员招聘、博士后招收简章,互联网科技企业
532,南通大学电气工程学院2021年诚聘海内外英才,互联网科技企业
533,中国科学院国家空间科学中心2022年应届生招聘启事,教育单位类
534,太初（无锡）电子科技有限公司2022校园招聘,互联网科技企业
535,应急管理部上海消防研究所 2022年招聘,互联网科技企业
536,引才正当时 共筑西华梦-西华大学2021年人才招聘公告,互联网科技企业
537,国金基金2022校园招聘,金融企业
538,携手师大 筑梦未来-江苏师范大学2021年人才引进政策及计划,社会企业
539,北京未尔锐创科技有限公司2022届校园招聘,互联网科技企业
540,遇“鉴”得物，预见未来！得物App2022校园招聘,互联网科技企业
541,乐道济世 砥砺前行-潍坊医学院2021年诚聘海内外优秀博士,互联网科技企业
542,2022中国安全防伪证件研制中心校园招聘简章,教育单位类
543,香港科技大学工学院研究生项目招生宣讲会,人文知识企业
544,闽南师范大学2021年诚纳英才,互联网科技企业
549,启明信息技术股份有限公司,互联网科技企业
550,北银金融科技有限责任公司,互联网科技企业
552,广西科技大学,互联网科技企业
553,【政府咨询项目助理】北京菁正咨询有限公司,专业技术服务企业
557,2022中公教育校园招聘-考研讲师,其他类型企业
558,中国科学院赣江创新研究院2021年优秀博士招聘启事,互联网科技企业
559,哈尔滨工业大学人工智能研究院有限公司,研究机构
567,材料科学姑苏实验室2021年高层次人才招聘启事,教育单位类
568,桂在珍惜 工候你来-桂林理工大学2021年诚邀优秀人才加盟,互联网科技企业
569,北京华龙通科技有限公司,互联网科技企业
570,嘉入我们 庚进一步-厦门大学嘉庚学院2021-2022学年人才招聘启事,互联网科技企业
571,央企华侨城集团公司2022校园招聘,其他类型企业
572,中国科学院武汉岩土力学研究所科研岗位和特别研究助理（含博士后）招聘简章【长期有效】,互联网科技企业
573,金川集团股份有限公司,其他类型企业
574,中国广电广州网络股份有限公司（原珠江数码）,互联网科技企业
575,浙江大学核医学创新研究中心招聘博士后,社会企业
576,中车信息技术有限公司,互联网科技企业
577,北京未尔锐创科技有限公司,互联网科技企业
578,安捷中科（北京）数据科技有限公司,互联网科技企业
579,中科本原科技（北京）有限公司,互联网科技企业
580,中国广电广州网络股份有限公司,互联网科技企业
581,智能驾驶激光雷达领军企业—深圳市速腾聚创科技有限公司 2022校园招聘宣讲会（北京站）,互联网科技企业
583,管理咨询顾问-北京、西安、深圳,专业技术服务企业
586,图灵深视（北京）科技有限公司,互联网科技企业
587,中信证券股份有限公司杭州凤起路证券营业部,金融企业
588,ASM先进科技（中国）有限公司2022校园招聘（成都）,互联网科技企业
589,中国技术进出口集团有限公司,互联网科技企业
591,中国石化上海石油化工研究院2021年人才招聘,互联网科技企业
592,携程计算机技术（上海）有限公司,互联网科技企业
593,成都思科瑞微电子股份有限公司,互联网科技企业
594,西安电子科技大学杭州研究院2021年全球招聘引才公告,互联网科技企业
595,广东省工业设备安装有限公司,工业科技企业
597,东南数字经济发展研究院,研究机构
598,中国科学院软件研究所中国科学院软件研究所2022年度校园招聘简章,研究机构
599,北京市地铁运营有限公司,其他类型企业
600,北京五一视界数字孪生科技股份有限公司,互联网科技企业
601,中交信息技术国家工程实验室有限公司,研究机构
602,北京流马锐驰科技有限公司,互联网科技企业
603,北京大学长三角光电科学研究院招聘启事,互联网科技企业
604,辽宁交投艾特斯智能交通技术有限公司,互联网科技企业
605,广东省新一代通信与网络创新研究院2022届毕业生招聘,研究机构
606,北京机械工业自动化研究所有限公司,研究机构
607,中国科学院武汉岩土力学研究所,研究机构
608,英国豪迈国际有限公司上海代表处,其他类型企业
609,中资网络信息安全科技有限公司2022校招正式启动！,互联网科技企业
611,北京知本创业管理咨询有限公司,专业技术服务企业
612,中国网安（含中国电科三十所）2022届校园招聘,研究机构
613,北京晟芯网络科技有限公司,互联网科技企业
616,重庆邮电大学2021-2022年招聘,互联网科技企业
620,苏州大学未来校区人才招聘公告,社会企业
623,苏州系统医学研究所高层次人才招聘公告,互联网科技企业
624,广东医科大学2021年人才招聘公告,教育单位类
625,光大科技有限公司,互联网科技企业
626,广东科学技术职业学院2021年高层次人才招聘公告,互联网科技企业
627,上海人工智能创新中心,教育单位类
629,新瑞鹏宠物医疗集团有限公司,医疗科技企业
630,中国科学院上海巴斯德研究所2021年度招聘启事,社会企业
632,南京理工大学教师招聘,教育单位类
633,CNH集团--晨皓知识产权 2022届校园招聘简章,人文知识企业
634,蓝诺微银（北京）信息技术有限公司,互联网科技企业
635,中国人民解放军第五七二〇工厂2022年校园招聘,工业科技企业
636,中国科学院国家空间科学中心,教育单位类
637,中国科学院国家空间科学中心2022年特别研究助理招聘启事,教育单位类
0,定向选调/集中选调,政府企业
1,弹道设计工程师/姿控设计工程师/气动设计工程师/导航设计工程师/仿真设计工程师/结构设计工程师/机电设计工程师度分析工程师/web前端工程师/JAVA开发工程师/应用软件开发工程师/FPGA工程师/嵌入式软件开发工程师/硬件设计工程师/射频、天线工程师/电气系统工程师/惯性导航工程师/固体火箭发动机设计工程师/固体火箭发动机工艺工程师/质量专员/产品保障专员/市场专员/新媒体运营专员/人事行政专员/法务专员/财务专员等,互联网科技企业
2,软硬件工程师/光学类工程师/质量类工程师,互联网科技企业
3,经营合约部实习生/安全环保部实习生/综合部实习生,其他类型企业
4,研发序列/营销序列/技术序列,工业科技企业
5,管培生,金融企业
6,深圳证券交易所及其下属单位2021年度信息技术专业人员招聘启事,金融企业
8,算法岗（控制）/C++开发岗/嵌入式开发岗/Unity3D开发岗/后端开发岗/硬件开发岗/硬件测试岗/电气设计岗/船舶设计岗/轮机设计岗/机械机构设计岗/数字硬件开发岗/射频硬件开发岗/协议栈软件开发岗/项目管理岗/质量管理岗/报销文员岗/管培生/营销管培生/营销管培生/解决方案助理工程师/工程服务助理工程师,互联网科技企业
